,0,1,2
0,France (pos 36),0.014047597,36
1,capital (pos 34),0.012662006,34
2,of (pos 35),0.011773647,35
3,assistant (pos 39),0.009166378,39
4,"202 (pos 23, occ 2)",0.005230586,23
5,What (pos 31),0.003720495,31
6,3 (pos 14),0.0035941578,14
7,user (pos 28),0.0031211295,28
8,is (pos 32),0.0023016627,32
9,the (pos 33),0.0021997667,33
10,4 (pos 24),0.0021246069,24
11,202 (pos 13),0.001550265,13
12," (pos 22, occ 3)",0.0014460508,22
13,Today (pos 16),0.0011783049,16
14,Date (pos 9),0.0011602899,9
15,Dec (pos 21),0.0011471317,21
16,"Date (pos 17, occ 2)",0.0009763945,17
17,December (pos 11),0.00088453275,11
18,system (pos 3),0.00084556936,3
19,Knowledge (pos 8),0.00082967343,8
20,Cut (pos 6),0.0006290466,6
21, (pos 12),0.0005506115,12
22,18 (pos 20),0.0005365793,20
23," (pos 19, occ 2)",0.00052246876,19
24,ting (pos 7),0.0003297092,7
